Command,Speed (mm/s),Initial Position (mm),End Position (mm),Time (s),ArUco ID,Translation X (m),Translation Y (m),Translation Z (m),Rotation X,Rotation Y,Rotation Z,Rotation W
V240,200.0,0.0,0.0,1741944810.6127386,aruco_2,0.03089886681213594,0.055156888705208136,0.0565979930624777,-0.03754137412884072,0.06378318761735895,0.9971474438224881,-0.01480931241431436
V240,200.0,0.0,0.0,1741944810.6144657,aruco_8,0.5830180003502917,0.05899297450758756,0.030569465412541463,0.055114587546606225,0.023652910836548663,0.9981406844633683,0.010866748923886355
V240,200.0,0.0,0.0,1741944810.6155574,aruco_4,0.2076286629792009,0.05436691145483259,0.04065647051205068,-0.014031702415529401,0.05896914191104377,0.998151984497014,0.004284595437970036
V240,200.0,0.0,0.0,1741944810.6162865,aruco_6,0.3946861590157125,0.0544945124626223,0.04533589864667109,0.055048259229547584,0.0713567294273691,0.9958637130627587,-0.011548226717436973
V240,200.0,0.0,0.0,1741944810.6166651,aruco_10,0.7629045366799362,0.05467685043055886,0.026006654023489006,0.034163198455395144,0.016321636936315415,0.9992725734560938,0.004560065531722722
V240,200.0,0.0,0.0,1741944810.617059,aruco_0,-0.00023751086683626577,0.005453129630809281,0.03878878826340337,0.48454733781678566,0.05656639848712279,0.8729271673998641,0.0035015952512126593
V240,200.0,0.0,0.0,1741944810.6175778,aruco_3,0.21145440653187522,-0.037781107583659546,0.05809218189154042,-0.05129697299474953,-0.02609837254120973,0.9983242849668095,-0.006008971328958536
V240,200.0,0.0,0.0,1741944810.6180413,aruco_1,0.014570065377251862,-0.04363547143039431,0.02302190301521756,-0.03393852886774227,-0.05276083326630332,0.9980235975881985,-0.003655083411881236
V240,200.0,0.0,0.0,1741944810.6186645,aruco_5,0.39652662514942616,-0.03897538209431288,0.057308281005045925,0.03672547284329466,-0.0048679147267376216,0.9992597855741472,-0.010364082219200405
V240,200.0,0.0,0.0,1741944810.6191945,aruco_7,0.5802943617976061,-0.03921385086938503,0.04956507857778103,0.08543636055413541,-0.05793551310472839,0.9946199948911032,0.008669511902147722
V240,200.0,0.0,0.0,1741944810.6196175,aruco_9,0.7636718465556365,-0.04001896634662491,0.031714839497215985,0.031097064526601024,-0.009392783492385304,0.9994695385307691,0.002319476193113765
P200,240.0,0.0,200.0,1741944810.7128859,aruco_2,0.025071569513307634,0.055100409848226596,0.04541585349251509,-0.030877014339096738,0.0675949035199608,0.9971317861344697,-0.01434330343572854
P200,240.0,0.0,200.0,1741944810.713501,aruco_8,0.5832955915206184,0.05898734678662101,0.029219318264824046,0.05094290836664989,0.020894583122240882,0.9984296794071212,0.010315131582262068
P200,240.0,0.0,200.0,1741944810.714647,aruco_4,0.20796061007354605,0.05438485818802537,0.04178436598821933,-0.01587525146123368,0.058683271323729386,0.9981405325905739,0.004440443605414833
P200,240.0,0.0,200.0,1741944810.71511,aruco_6,0.39477222982912447,0.05452821849112631,0.04625990779472744,0.062161755500833867,0.07374200185398999,0.9952778087372176,-0.010959331305589227
P200,240.0,0.0,200.0,1741944810.7155635,aruco_10,0.7621039525300144,0.054729364320632856,0.027832674546119374,0.03386314681130758,0.013850330752321782,0.999325744670367,0.003082512810621261
P200,240.0,0.0,200.0,1741944810.7160833,aruco_0,-0.0012161816749747811,0.005292351746613161,0.03703627233413331,0.4829192000777867,0.05683309199170348,0.8738139066016877,0.0028780796423433165
P200,240.0,0.0,200.0,1741944810.7165377,aruco_3,0.21124299234455357,-0.03789621054915962,0.057346936692983186,-0.05060805227563976,-0.02615694762947375,0.9983562662826936,-0.00627653491345283
P200,240.0,0.0,200.0,1741944810.7169306,aruco_1,0.014219840505863057,-0.04382344908312573,0.022368865243436398,-0.03478144929274761,-0.05617298729450431,0.9978126689085665,-0.0021712432691060523
P200,240.0,0.0,200.0,1741944810.717222,aruco_5,0.3965552451050841,-0.038896907681788065,0.057837558305851244,0.02897955547735021,-0.004843281818638308,0.9995021895882343,-0.011493094665818123
P200,240.0,0.0,200.0,1741944810.717502,aruco_7,0.5805832175444356,-0.039426369725924504,0.04817579409570649,0.08384867432006361,-0.05677713999772552,0.9948285964658221,0.00786192768511239
P200,240.0,0.0,200.0,1741944810.7178025,aruco_9,0.7647004304560666,-0.040368927377386926,0.029461016340378565,0.028624463545596203,-0.003903796120520782,0.9995736013989674,0.004243356840445205
P200,240.0,0.0,200.0,1741944810.8255584,aruco_2,0.006417898638587272,0.05507910078563452,0.00912203865257033,0.06744135197202734,0.07683918716339207,0.9946368034366537,-0.015653203731548417
P200,240.0,0.0,200.0,1741944810.8260918,aruco_8,0.5831372209216685,0.05898512687581319,0.029937503665753873,0.05164628401872295,0.024737928449325132,0.9983077837581401,0.01011213665934277
P200,240.0,0.0,200.0,1741944810.827422,aruco_4,0.2076663368481188,0.054372420699189516,0.04070559332425383,-0.010599237119030044,0.059339712877786374,0.9981710409272805,0.004584538046207541
P200,240.0,0.0,200.0,1741944810.8282382,aruco_6,0.3946928636251954,0.05450545056591943,0.04486292067960451,0.053968392256246916,0.07219197510271448,0.995862808677412,-0.011532037123857366
P200,240.0,0.0,200.0,1741944810.8287146,aruco_10,0.7626272137565886,0.05469549031328435,0.026659255613265986,0.032908852784657626,0.014582543966015167,0.9993480106362729,0.002810814745793851
P200,240.0,0.0,200.0,1741944810.829048,aruco_0,-0.00010626674440539219,0.005064976553251846,0.03551439160879044,0.5121516831794037,0.04534586158662669,0.8576526172529729,0.008739200456860299
P200,240.0,0.0,200.0,1741944810.8293257,aruco_3,0.21124226784477407,-0.037875284331263,0.057367656700774594,-0.05184416654047603,-0.02469717604587178,0.9983278818776047,-0.006607747951277417
P200,240.0,0.0,200.0,1741944810.829596,aruco_1,0.014626570678651696,-0.04367166225427779,0.02318305956602551,-0.03495536664203825,-0.05567937052780937,0.9978320041345571,-0.003035096816004111
P200,240.0,0.0,200.0,1741944810.8298469,aruco_5,0.39649278874650196,-0.03912249273047391,0.056282141174030076,0.032288393573069556,0.0004175504408077488,0.9994146603646848,-0.011296555441435853
P200,240.0,0.0,200.0,1741944810.8301008,aruco_7,0.5807627404022089,-0.0395531552162893,0.04739216931315149,0.07817066052831974,-0.05466706519327571,0.9954124892031226,0.007404474702267664
P200,240.0,0.0,200.0,1741944810.8303368,aruco_9,0.7656144720648415,-0.040491186851894206,0.027602806671032654,0.028171115651081068,-0.002525664026241659,0.9995954022032464,0.003005226697951511
P200,240.0,0.0,200.0,1741944810.927807,aruco_2,0.01528952348913587,0.05537680652868548,0.027319061351265606,0.4993477468447437,0.17766845433731476,0.8479877179322125,0.0015994625652950526
P200,240.0,0.0,200.0,1741944810.9280887,aruco_8,0.5831138077939545,0.059003752443618836,0.03014117140723782,0.052998674111454376,0.024507143438605453,0.9982396137374906,0.010402124801661892
P200,240.0,0.0,200.0,1741944810.9282267,aruco_4,0.2077188868673283,0.05437864128801156,0.04094775947796103,-0.014455139771290239,0.06009434252372525,0.9980796019426222,0.004100902540034771
P200,240.0,0.0,200.0,1741944810.92835,aruco_6,0.39477039078401893,0.05450404765942418,0.04610759456604463,0.05475717614880107,0.0712400148704884,0.9959002233104267,-0.010452146495125757
P200,240.0,0.0,200.0,1741944810.9284708,aruco_10,0.7624630990254442,0.05471007594303687,0.027021523518830803,0.03431409603869844,0.01497022867080781,0.9992907045018242,0.0040636415066827225
P200,240.0,0.0,200.0,1741944810.9285972,aruco_0,0.012613306101541433,0.005132113990085396,0.035415614382406924,0.5087972424821017,0.04244038491002613,0.8597239612260776,0.014102116741715017
P200,240.0,0.0,200.0,1741944810.9287665,aruco_3,0.21127606203266552,-0.03788261981695923,0.057454729376661295,-0.05237583438627315,-0.024458481799757237,0.9983040010965204,-0.0069040719388165726
P200,240.0,0.0,200.0,1741944810.928943,aruco_1,0.015489300724425614,-0.043341740079977015,0.02429084622188893,-0.04626138070403221,-0.03449812681708122,0.998316614062069,-0.005804497250412648
P200,240.0,0.0,200.0,1741944810.9291196,aruco_5,0.3965224639675572,-0.0389710565683587,0.05733051918184584,0.03628355830957413,-0.003302920240629397,0.9992776455780128,-0.010806080632198725
P200,240.0,0.0,200.0,1741944810.9292924,aruco_7,0.5802421843808356,-0.03917793882748824,0.04975348868275886,0.0873405275842831,-0.056682392374144144,0.9945245406090798,0.008925626459711003
P200,240.0,0.0,200.0,1741944810.9294636,aruco_9,0.7628763125991762,-0.039756658933893796,0.033482979031517424,0.03812705877195645,-0.009997520793718236,0.9992148210067622,0.004013559173678806
P200,240.0,0.0,200.0,1741944811.037716,aruco_2,0.02827125774634015,0.055129513431752084,0.05164666489817249,0.08123038140933808,0.0699161689283077,0.9941488735602936,-0.013467062046673141
P200,240.0,0.0,200.0,1741944811.0381737,aruco_8,0.583240900498373,0.0590107755755865,0.02949147605660407,0.05179163813878612,0.022219391674342424,0.9983588075695138,0.010178721728118406
P200,240.0,0.0,200.0,1741944811.0388198,aruco_4,0.20766544458159114,0.05437813047856914,0.04082143917178793,-0.015018430289846355,0.05945131757483301,0.9981104311495217,0.003942728013356448
P200,240.0,0.0,200.0,1741944811.0393562,aruco_6,0.3947252863430768,0.05451008335510774,0.04614266384180876,0.056385817886532116,0.08057021962348873,0.9950863522523585,-0.011498740619994292
P200,240.0,0.0,200.0,1741944811.0396812,aruco_10,0.7618496833492152,0.05474143180370475,0.02837278394203513,0.0349483490621448,0.012848611996498154,0.9993006506272754,0.0034243161368240965
P200,240.0,0.0,200.0,1741944811.0400207,aruco_3,0.2111284912209028,-0.037929392359793965,0.05695994388962744,-0.05182190374890621,-0.026675906621233574,0.9982800942311364,-0.006303168798378592
