timestamp,x,y,z
1733479009.842277,0.471496,-0.244392,0.334791
1733479009.842277,0.471496,-0.244392,0.334791
1733479009.842277,0.471496,-0.244392,0.334791
1733479009.842277,0.471496,-0.244392,0.334791
1733479009.842277,0.471496,-0.244392,0.334791
1733479010.333379,0.375892,-0.203540,0.339593
1733479010.333379,0.375892,-0.203540,0.339593
1733479010.606232,0.347333,-0.198976,0.337838
1733479010.606232,0.347333,-0.198976,0.337838
1733479010.771375,0.331723,-0.194808,0.339444
1733479010.881801,0.323705,-0.191392,0.346134
1733479010.994454,0.316738,-0.188335,0.355325
1733479011.099229,0.316411,-0.190638,0.346911
1733479011.210837,0.310892,-0.188687,0.347159
1733479011.266302,0.306945,-0.186305,0.355032
1733479011.380060,0.305619,-0.186177,0.347122
1733479011.484837,0.304472,-0.184403,0.347211
1733479011.599558,0.305609,-0.179818,0.354286
1733479011.705647,0.312626,-0.180961,0.332635
1733479011.813317,0.310301,-0.172202,0.347572
1733479011.868505,0.311356,-0.168136,0.350581
1733479011.977752,0.316372,-0.163598,0.332935
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.033967,0.315819,-0.159725,0.333251
1733479012.962147,0.315991,-0.065602,0.341397
1733479013.072544,0.313740,-0.057607,0.344578
1733479013.185182,0.310277,-0.051360,0.359086
1733479013.290100,0.309726,-0.049614,0.351293
1733479013.401453,0.307707,-0.048916,0.353057
1733479013.512743,0.309658,-0.046316,0.352968
1733479013.571634,0.306601,-0.044787,0.367243
1733479013.674536,0.313819,-0.043938,0.337472
1733479013.781950,0.313372,-0.041255,0.337962
1733479013.897283,0.308956,-0.038521,0.352686
1733479014.002800,0.311460,-0.035955,0.337919
1733479014.069674,0.309450,-0.033970,0.345787
1733479014.167885,0.312863,-0.029316,0.338269
1733479014.277691,0.315946,-0.024010,0.337634
1733479014.386612,0.319892,-0.017365,0.337673
1733479014.494997,0.323498,-0.010721,0.337621
1733479014.608835,0.318070,-0.004075,0.366654
1733479014.713128,0.323508,0.003407,0.346173
1733479014.778778,0.321821,0.006858,0.351796
1733479014.886289,0.320367,0.014041,0.351103
1733479014.991703,0.319632,0.019505,0.343720
1733479015.046612,0.314688,0.021049,0.355395
1733479015.212201,0.314474,0.029327,0.350139
1733479015.265414,0.315508,0.032574,0.344967
1733479015.374654,0.309499,0.036289,0.365397
1733479015.490668,0.311616,0.041922,0.354690
1733479015.597479,0.315168,0.046686,0.349748
1733479015.710883,0.311909,0.049436,0.365565
1733479015.810338,0.314511,0.055556,0.356654
1733479015.866011,0.314814,0.057955,0.358330
